cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_10.json;9646,32;7961,19;1,2117;2120,33;200;189,49
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_2.json;9304,06;7779,62;1,1960;2624,56;200;202,70
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_3.json;10622,00;7714,72;1,3768;2015,96;200;194,19
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_4.json;9875,52;8480,76;1,1645;3102,62;200;197,12
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_5.json;9303,05;8317,62;1,1185;3437,04;200;190,97
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_6.json;9735,80;8082,96;1,2045;2516,79;200;192,75
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_7.json;10006,42;7883,19;1,2693;2722,97;200;192,89
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_8.json;8921,80;8183,52;1,0902;2633,58;200;194,52
HHLHHLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLH\HHLHHLH_9.json;8757,26;7796,87;1,1232;3280,20;200;192,02
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_1.json;2528,11;1867,63;1,3536;89,60;200;86,41
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_10.json;2439,90;2092,05;1,1663;0,00;200;79,16
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_2.json;3229,21;2286,06;1,4126;0,00;200;81,91
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_3.json;2351,35;2035,68;1,1551;0,00;200;82,14
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_4.json;2474,40;2187,57;1,1311;123,17;200;82,68
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_5.json;2541,50;2150,86;1,1816;0,00;200;80,97
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_6.json;2518,05;1965,80;1,2809;126,44;200;93,69
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_7.json;2357,31;1893,45;1,2450;199,60;200;79,70
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_8.json;2304,06;1634,07;1,4100;0,00;200;79,85
HHLHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHLL\HHLHHLL_9.json;2154,57;1973,81;1,0916;27,87;200;79,56
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_1.json;10696,77;8393,83;1,2744;773,35;200;2299,62
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_10.json;11238,05;8469,55;1,3269;1087,34;200;2300,74
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_2.json;10915,56;8374,84;1,3034;1293,52;200;2290,86
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_3.json;10827,33;8368,32;1,2938;1125,82;200;2292,58
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_4.json;10492,24;8390,01;1,2506;1418,46;200;2275,76
HHLHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHLHH\HHLHLHH_5.json;10538,25;8391,54;1,2558;1475,82;200;2294,38
